name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
collegeroadtrip,http://www.boxofficemojo.com/movies/?id=collegeroadtrip.htm,25642,"$45,610,425",Buena Vista,"March 7, 2008",Comedy,1 hrs. 23 min.,G,N/A
junior,http://www.boxofficemojo.com/movies/?id=junior.htm,24902,"$36,763,355",Universal,"November 23, 1994",Sci-Fi Comedy,1 hrs. 50 min.,PG-13,$60 million
brewstersmillions,http://www.boxofficemojo.com/movies/?id=brewstersmillions.htm,20821,"$40,833,132",Universal,"May 22, 1985",Comedy,1 hrs. 42 min.,PG,N/A
superman2,http://www.boxofficemojo.com/movies/?id=superman2.htm,25753,"$108,185,706",Warner Bros.,"June 19, 1981",Action / Adventure,2 hrs. 8 min.,PG,$54 million
dcfilm0318,http://www.boxofficemojo.com/movies/?id=dcfilm0318.htm,24908,,Warner Bros.,"March 16, 2018",Action / Adventure,1 hrs. 58 min.,PG-13,$94 million
bambi66,http://www.boxofficemojo.com/movies/?id=bambi66.htm,16029,"$9,000,000Domestic Lifetime Gross: $102,247,150",Disney,"March 25, 1966",Animation,1 hrs. 9 min.,G,N/A
cobb,http://www.boxofficemojo.com/movies/?id=cobb.htm,20181,"$1,007,583",Warner Bros.,"December 2, 1994",Sports Drama,2 hrs. 9 min.,R,N/A
lethalweapon3,http://www.boxofficemojo.com/movies/?id=lethalweapon3.htm,28458,"$144,731,527",Warner Bros.,"May 15, 1992",Action Comedy,1 hrs. 58 min.,R,$35 million
bodiesrestandmotion,http://www.boxofficemojo.com/movies/?id=bodiesrestandmotion.htm,19200,"$764,724",New Line,"April 9, 1993",Comedy / Drama,1 hrs. 35 min.,R,N/A
repossessed,http://www.boxofficemojo.com/movies/?id=repossessed.htm,19901,"$1,382,462",New Line,"September 14, 1990",Horror Comedy,1 hrs. 29 min.,PG-13,N/A
bigtrouble,http://www.boxofficemojo.com/movies/?id=bigtrouble.htm,23648,"$7,267,307",Buena Vista,"April 5, 2002",Comedy,1 hrs. 25 min.,PG-13,$40 million
namesake,http://www.boxofficemojo.com/movies/?id=namesake.htm,21496,"$13,569,248",Fox Searchlight,"March 9, 2007",Drama,2 hrs. 2 min.,PG-13,$9.5 million
leagueoftheirown,http://www.boxofficemojo.com/movies/?id=leagueoftheirown.htm,28606,"$107,533,928",Sony / Columbia,"July 1, 1992",Sports Drama,2 hrs. 8 min.,PG,$40 million
twocanplaythatgame,http://www.boxofficemojo.com/movies/?id=twocanplaythatgame.htm,22663,"$22,235,901",Sony / Screen Gems,"September 7, 2001",Romantic Comedy,1 hrs. 31 min.,R,$13 million
petsematary,http://www.boxofficemojo.com/movies/?id=petsematary.htm,23188,"$57,469,467",Paramount,"April 21, 1989",Horror,1 hrs. 43 min.,R,N/A
outbreak,http://www.boxofficemojo.com/movies/?id=outbreak.htm,24032,"$67,659,560",Warner Bros.,"March 10, 1995",Action Drama,2 hrs. 8 min.,R,N/A
spacejam,http://www.boxofficemojo.com/movies/?id=spacejam.htm,26353,"$90,418,342",Warner Bros.,"November 15, 1996",Family Comedy,1 hrs. 28 min.,PG,N/A
onlyyou,http://www.boxofficemojo.com/movies/?id=onlyyou.htm,21499,"$20,059,210",TriStar,"October 7, 1994",Romantic Comedy,1 hrs. 49 min.,PG,N/A
brotherofsleep,http://www.boxofficemojo.com/movies/?id=brotherofsleep.htm,16676,"$97,848",Sony Classics,"September 13, 1996",Unknown,2 hrs. 10 min.,R,N/A
